100-0,-93.25,86.66,-107.28,-498.8,-1414.4,215.0,4.044,-1.663,-2.152,93
100-1,-20.23,74.69,-77.08,-70.0,223.7,338.0,2.338,3.581,1.917,29
100-2,58.94,72.70,86.53,-147.4,-742.8,304.2,4.508,-0.579,4.294,38
100-3,112.37,80.83,138.78,-163.7,-783.5,140.7,4.383,-2.382,4.191,36
100-4,133.99,69.57,171.19,-8.5,-623.8,103.5,4.642,-1.457,3.653,37
100-5,154.00,44.15,-154.31,31.9,-430.0,-16.2,5.239,-2.977,1.217,65
100-0,-135.43,75.29,-147.38,211.6,166.9,232.3,2.712,-1.198,-0.782,93
100-1,-17.31,66.07,-72.77,187.0,223.5,-38.9,1.538,-0.100,1.446,25
100-2,36.55,79.34,64.61,114.3,637.1,161.7,4.038,-0.349,4.102,40
100-3,121.29,89.70,146.15,186.2,775.4,278.2,4.366,-1.127,3.675,36
100-4,139.18,80.65,174.14,97.3,831.5,325.3,4.470,-0.558,2.126,37
100-5,172.81,58.12,-141.64,345.0,834.4,434.6,4.556,-0.570,-0.012,65
100-0,-78.55,72.03,-98.09,351.5,644.3,169.1,2.422,-0.318,-1.231,93
100-1,11.13,57.09,-56.10,486.4,239.2,-409.3,1.160,1.284,0.880,29
100-2,5.48,47.30,25.91,137.4,1009.4,166.7,3.605,-0.219,0.853,41
100-3,-11.89,52.01,5.73,140.2,1111.0,277.5,4.306,-0.234,0.987,36
100-4,-12.25,61.00,18.72,-15.7,999.6,372.4,3.874,0.468,0.072,38
100-5,-83.20,75.26,-40.08,8.4,944.9,509.3,3.465,0.370,-0.351,65
100-0,-23.05,42.67,-51.42,375.0,1276.8,-17.7,1.121,0.251,-1.902,93
100-1,46.64,42.39,-33.18,481.7,29.9,-645.0,1.062,0.387,0.627,30
100-2,7.35,12.79,17.73,181.7,944.2,38.0,3.001,-0.332,-0.170,40
100-3,-8.87,12.99,3.86,119.7,991.4,233.3,3.415,-0.241,-0.284,36
